qweek,i2_health,i11_health,age,gender,household_size,WCRex2,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex1,r1_1,r1_2,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,i9_health_No,i9_health_Not sure,i9_health_Yes,state_Australian Capital Territory,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,employment_status_Full time employment,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
40,3.0,2.0,44,1,2,2.0,8.0,3,4,4,3,2.0,6,2,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,1992.0,7.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
40,1.0,2.0,46,1,1,2.0,7.0,3,4,4,4,2.0,5,3,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,39108.0,207.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
43,1.0,2.0,20,0,3,3.0,3.0,3,3,3,3,3.0,2,4,2.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,73785.0,556.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
51,3.0,2.0,26,1,3,2.0,8.0,4,3,3,3,2.0,2,2,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,124424.0,151.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
50,10.0,1.0,68,0,2,1.0,7.0,2,4,4,4,1.0,1,5,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,369936.0,153.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
50,8.0,1.0,40,0,3,3.0,7.0,4,4,4,4,2.0,5,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,5.0,2.0,1103219.0,1315.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
44,15.0,2.0,43,0,1,1.0,7.0,4,4,3,3,1.0,1,1,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,95917.0,1168.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
49,10.0,2.0,63,0,2,2.0,9.0,4,4,3,4,1.0,4,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,443787.0,1593.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
37,50.0,1.0,72,0,2,4.0,8.0,4,4,4,4,4.0,3,2,1.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,1791.0,7.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,20.0,1.0,67,0,2,4.0,8.0,3,4,3,4,3.0,3,3,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,8531.0,67.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
47,25.0,1.0,21,0,1,3.0,9.0,4,4,4,4,3.0,4,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,153631.0,1484.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
46,0.0,3.0,33,1,1,3.0,1.0,3,4,3,4,3.0,7,7,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,81916.0,628.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
52,9.0,1.0,52,1,3,1.0,8.0,4,4,4,4,2.0,7,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1285301.0,1871.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
