,0
V3_baby_other,100.0
V3_child2_4_other,100.0
m6_other,99.99814240335854
V3_baby,99.99814240335854
V3_child5_17_other,99.99628480671707
V3_me_other,99.99628480671707
m8_other,99.99442721007561
V3_adult18_other,99.98328163022681
ct3_other,99.97956643694388
ct5_other,99.97956643694388
V3_child2_4,99.9628480671707
V3_child5_17,99.96099047052923
v3_open,99.96099047052923
ct6_other,99.95913287388777
m4_other,99.94612969739751
m12_other,99.94427210075604
ct1b_other,99.93498411754872
V3_me,99.92941132762432
V4_other,99.92198094105846
m6_8,99.91640815113406
m6_96,99.91640815113406
m6_5,99.91640815113406
m6_7,99.91640815113406
m6_6,99.91640815113406
m6_4,99.91640815113406
m6_3,99.91640815113406
m6_1,99.91640815113406
m6_2,99.91640815113406
V3_adult18,99.91455055449259
v3_other,99.89411699143648
m5_1,99.8606802518901
ct5_99,99.78451878959002
ct5_96,99.78451878959002
ct5_8,99.78451878959002
ct5_6,99.78451878959002
ct5_4,99.78451878959002
ct5_3,99.78451878959002
ct5_2,99.78451878959002
ct5_1,99.78451878959002
ct5_7,99.78451878959002
ct5_5,99.78451878959002
ct3,99.74179406683633
v3,99.73993647019486
m5_2,99.73622127691193
w5_12,99.66749020117771
w5_96,99.66749020117771
w5_16,99.66749020117771
w5_15,99.66749020117771
w5_14,99.66749020117771
w5_13,99.66749020117771
w5_11,99.66749020117771
w5_3,99.66749020117771
w5_10,99.66749020117771
w5_9,99.66749020117771
w5_4,99.66749020117771
w5_5,99.66749020117771
w5_6,99.66749020117771
w5_99,99.66749020117771
w5_2,99.66749020117771
w5_8,99.66749020117771
w5_1,99.66749020117771
w5_7,99.66749020117771
WAH7_1,99.63405346163134
WAH7_2,99.63405346163134
WAH7_3,99.63405346163134
WAH7_4,99.63405346163134
WAH7_5,99.63405346163134
WAH7_6,99.63405346163134
WAH7_7,99.63405346163134
WAH7_99,99.63405346163134
work7_2,99.60804710865084
work7_4,99.60804710865084
work7_5,99.60804710865084
work7_3,99.60804710865084
work7_1,99.60804710865084
work8,99.60804710865084
WAH6,99.57832556238738
q_other,99.57461036910445
child_education_1,99.55231920940687
child_education_2,99.55231920940687
child_education_3,99.55231920940687
child_education_4,99.55231920940687
m8_4,99.53745843627514
m8_1,99.53745843627514
m8_2,99.53745843627514
m8_3,99.53745843627514
m8_96,99.53745843627514
m8_8,99.53745843627514
m9_7,99.53745843627514
m9_6,99.53745843627514
m9_5,99.53745843627514
m9_3,99.53745843627514
m9_2,99.53745843627514
m8_6,99.53745843627514
m8_7,99.53745843627514
m9_1,99.53745843627514
m8_99,99.53745843627514
m9_4,99.53745843627514
m8_5,99.53745843627514
v2_2,99.51702487321903
